,train,val,test
2484660-B2,True,False,False
2485164-B2,True,False,False
2485276-B3,True,False,False
2485536-B2,True,False,False
2485632-B,True,False,False
2487053-B2,True,False,False
2487063-B2,True,False,False
2487518-B,True,False,False
2488040-B,True,False,False
25012737B4,True,False,False
25013189B4,True,False,False
25013629B6,True,False,False
25014298B2,True,False,False
25015052B3,True,False,False
25015191B2,True,False,False
25015191B3,True,False,False
25015215B2,True,False,False
25015471B,True,False,False
25015496B,True,False,False
25015594B2,True,False,False
25015640B3,True,False,False
25015784B2,True,False,False
25015798B2,True,False,False
25015867B2,True,False,False
25016027B,True,False,False
25016031B2,True,False,False
25017355B4,True,False,False
25017500B,True,False,False
25017592B3,True,False,False
25017730B2,True,False,False
25017923B,True,False,False
25017930B,True,False,False
25018478B2,True,False,False
25019273B,True,False,False
25019294B1,True,False,False
25019335B6,True,False,False
25019474B2,True,False,False
25019503B,True,False,False
25019629B2,True,False,False
25019675B2,True,False,False
25019705B2,True,False,False
25020353B2,True,False,False
25020556B4,True,False,False
25020799B5,True,False,False
25021277B3,True,False,False
25021277B4,True,False,False
25021421B2,True,False,False
25021487B,True,False,False
25021555B2,True,False,False
25021665B3,True,False,False
25021735B5,True,False,False
25021890B4,True,False,False
25022013B,True,False,False
25022344B2,True,False,False
25022584B3,True,False,False
25022613B2,True,False,False
25023687B3,True,False,False
25023687B4,True,False,False
25023846B4,True,False,False
25023935B2,True,False,False
25023961B2,True,False,False
25023972B3,True,False,False
25024254B2,True,False,False
25024433B2,True,False,False
25024765B2,True,False,False
25024855B4,True,False,False
25024875B2,True,False,False
25025076B,True,False,False
25025087B,True,False,False
25025293B2,True,False,False
25025569B,True,False,False
25025616B,True,False,False
25025951B,True,False,False
25025954B3,True,False,False
25025975B2,True,False,False
25026103B2,True,False,False
25026144B2,True,False,False
25026144B3,True,False,False
25026285B2,True,False,False
25026499B3,True,False,False
25026509B,True,False,False
25026752B,True,False,False
25026782B3,True,False,False
25026797B2,True,False,False
25027131B2,True,False,False
25027181B3,True,False,False
25027181B5,True,False,False
25027193B,True,False,False
25002510B2,True,False,False
25027606B3,True,False,False
25027636B2,True,False,False
25027723B4,True,False,False
25028010B2,True,False,False
25028014B5,True,False,False
25028014B7,True,False,False
25028186B2,True,False,False
25028514B,True,False,False
25028738B2,True,False,False
25028868B2,True,False,False
25029425B2,True,False,False
25029425B3,True,False,False
25029425B,True,False,False
25029560B2,True,False,False
25029737B2,True,False,False
25029906B2,True,False,False
25030334B2,True,False,False
25030630B,True,False,False
25030750B2,True,False,False
25030988B4,True,False,False
25030998B2,True,False,False
25031267B2,True,False,False
25031271B2,True,False,False
25031302B,True,False,False
25031385B4,True,False,False
25031387B2,True,False,False
25031411B3,True,False,False
25031706B,True,False,False
25032146B2,True,False,False
25032179B3,True,False,False
25032245B2,True,False,False
25032360B2,True,False,False
25032789B2,True,False,False
25033211B,True,False,False
25033447B4,True,False,False
25033482B2,True,False,False
25033894B2,True,False,False
25034245B2,True,False,False
25034327B2,True,False,False
25034940B9,True,False,False
25034940B8,True,False,False
25034940B11,True,False,False
25034940B12,True,False,False
25035354B2,True,False,False
25035354B3,True,False,False
25035882B4,True,False,False
25036333B3,True,False,False
25036340B1,True,False,False
25041732B,True,False,False
25041763B,True,False,False
25043126B2,True,False,False
25044694B,True,False,False
25045403B-1,True,False,False
25045450B5,True,False,False
25045625B3,True,False,False
25045625B1,True,False,False
25045676B4,True,False,False
25045801B2,True,False,False
25045807B4,True,False,False
25045829B2,True,False,False
25045839B,True,False,False
25046631B2,True,False,False
25047066B,True,False,False
25047077B2,True,False,False
25047088B,True,False,False
25047401B2,True,False,False
25047538B2,True,False,False
25047972B2,True,False,False
25048633B2,True,False,False
25048669B2,True,False,False
25049966B2,True,False,False
25049999B2,True,False,False
25050326B,True,False,False
25050345B2,True,False,False
25050830B2,True,False,False
25050888B2,True,False,False
25050888B3,True,False,False
25051008B4,True,False,False
25052288B,True,False,False
25052316B,True,False,False
25053425B2,True,False,False
25054130B2,True,False,False
25054693B2,True,False,False
25055380B2,True,False,False
25055778B2,True,False,False
25055784B2,True,False,False
25057854B3,True,False,False
25057856B2,True,False,False
25057858B2,True,False,False
25057865B1,True,False,False
25058118B3,True,False,False
25058627B2,True,False,False
25059470B2,True,False,False
25059686B2,True,False,False
25061727B2,True,False,False
25062891B4,True,False,False
25063228B5,True,False,False
25063642B,True,False,False
25063642B2,True,False,False
25063676B,True,False,False
25063676B2,True,False,False
2460399-B2,False,True,False
2460404-B3,False,True,False
2460591-B2,False,True,False
2460753-B2,False,True,False
2461718-B3,False,True,False
2461755-B3,False,True,False
2461836-B2,False,True,False
2462293-B3,False,True,False
2462830-B2,False,True,False
2462840-B5,False,True,False
2462920-B3,False,True,False
2462921-B,False,True,False
2464690-B2,False,True,False
2464817-B,False,True,False
2465367-B3,False,True,False
2465639-B2,False,True,False
2465795-B4,False,True,False
2466152-B2,False,True,False
2466881-B2,False,True,False
2468105-B2,False,True,False
2468321-B2,False,True,False
2469661-B,False,True,False
2469916-B2,False,True,False
2469965-B2,False,True,False
2470405-B2,False,True,False
2471887-B,False,True,False
2472500-B2,False,True,False
2472505-B,False,True,False
2472509-B6,False,True,False
2474500-B2,False,True,False
2474612-B2,False,True,False
2474631-B3,False,True,False
2474721-B,False,True,False
2474901-B,False,True,False
2475184-B2,False,True,False
2476750-B,False,True,False
2476984-B2,False,True,False
2477058-B2,False,True,False
2477118-B3,False,True,False
2477118-B4,False,True,False
2477476-B2,False,True,False
2477695-B2,False,True,False
2477814-B5,False,True,False
2481696-B4,False,True,False
2481750-B2,False,True,False
2482056-B9,False,True,False
2482947-B2,False,True,False
2482956-B,False,True,False
2482992-B,False,True,False
2483363-B3,False,True,False
2483862-B2,False,True,False
2484209-B2,False,True,False
2484220-B3,False,True,False
2484228-B,False,True,False
2484301-B2,False,True,False
2484463-B2,False,True,False
2484883-B2,False,True,False
2485059-B2,False,True,False
2485635-B2,False,True,False
2485803-B2,False,True,False
2486197-B2,False,True,False
2487143-B,False,True,False
2487651-B,False,True,False
2487664-B2,False,True,False
2487896-B2,False,True,False
2487941-B2,False,True,False
2488044-B2,False,True,False
2488477-B2,False,True,False
2488806-B2,False,True,False
2488916-B2,False,True,False
25012148B4,False,True,False
25012170B4,False,True,False
25012170B5,False,True,False
25012919B8,False,True,False
25014160B2,False,True,False
25015811B4,False,True,False
25016077B2,False,True,False
25016088B2,False,True,False
25016785B2,False,True,False
25016903B4,False,True,False
25016905B4,False,True,False
25016926B2,False,True,False
25017218B3,False,True,False
25017220B2,False,True,False
25017515B2,False,True,False
25017539B3,False,True,False
25017716B2,False,True,False
25017718B2,False,True,False
25019102B4,False,True,False
25019376B2,False,True,False
25019468B2,False,True,False
25019773B3,False,True,False
25019806B2,False,True,False
25020291B2,False,True,False
25020717B2,False,True,False
25020760B3,False,True,False
25021893B2,False,True,False
25021894B2,False,True,False
25022343B3,False,True,False
25023869B3,False,True,False
25024142B2,False,True,False
25024698B4,False,True,False
25024878B3,False,True,False
25024982B2,False,True,False
25025096B2,False,True,False
25025102B2,False,True,False
25025509B2,False,True,False
25025567B3,False,True,False
25025570B2,False,True,False
25025788B2,False,True,False
25025953B2,False,True,False
25026075B2,False,True,False
25026291B2,False,True,False
25026669B2,False,True,False
25018584B,False,True,False
25018592B,False,True,False
2490844B1,False,True,False
2491191B2,False,True,False
25001966B2,False,True,False
25002366B6,False,True,False
25002388B2,False,True,False
25002496B2,False,True,False
25002744B2,False,True,False
25002801B1,False,True,False
25009294B2,False,True,False
25009367B2,False,True,False
25009529B2,False,True,False
2460615-B4,False,True,False
2460943-B3,False,True,False
2462468-B2,False,True,False
2462939-B,False,True,False
2484791-B2,False,True,False
2486102-B2,False,True,False
2487043-B,False,True,False
2488960-B2,False,True,False
2488987-B2,False,True,False
25013977B2,False,True,False
25014627B3,False,True,False
25015421B3,False,True,False
25016827B2,False,True,False
25017341B3,False,True,False
25017342B2,False,True,False
25017499B,False,True,False
25018956B3,False,True,False
25019339B2,False,True,False
25019339B3,False,True,False
25020714B4,False,True,False
25021665B2,False,True,False
25021672B,False,True,False
25021922B2,False,True,False
25023174B2,False,True,False
25024982B1,False,True,False
25025097B,False,True,False
25027181B2,False,True,False
25027181B4,False,True,False
25027181B6,False,True,False
2491552B,False,True,False
2491579B,False,True,False
25009557B,False,True,False
25027770B,False,True,False
25028014B6,False,True,False
25028134B,False,True,False
25028151B3,False,True,False
25028210B2,False,True,False
25028520B3,False,True,False
25029134B,False,True,False
25029565B5,False,True,False
25030157B3,False,True,False
25030157B4,False,True,False
25030619B2,False,True,False
25031281B2,False,True,False
25031706B2,False,True,False
25032788B4,False,True,False
25033169B1,False,True,False
25033486B,False,True,False
25034929B2,False,True,False
25036634B2,False,True,False
25043600B3,False,True,False
25045403B2,False,True,False
25045450B2,False,True,False
25046521B3,False,True,False
25047067B2,False,True,False
25047835B3,False,True,False
25048256B2,False,True,False
25050862B2,False,True,False
25050984B2,False,True,False
25051207B5,False,True,False
25054130B1,False,True,False
25055857B2,False,True,False
25058713B2,False,True,False
25060539B2,False,True,False
25063371B2,False,True,False
25063700B,False,True,False
2460602-B,False,False,True
2460949-B3,False,False,True
2461002-B2,False,False,True
2461698-B,False,False,True
2461857-B2,False,False,True
2462123-B2,False,False,True
2462170-B4,False,False,True
2462614-B3,False,False,True
2463126-B2,False,False,True
2463351-B4,False,False,True
2464404-B5,False,False,True
2464879-B2,False,False,True
2464943-B2,False,False,True
2465339-B2,False,False,True
2465643-B3,False,False,True
2465827-B5,False,False,True
2466159-B2,False,False,True
2466285-B,False,False,True
2466581-B2,False,False,True
2466584-B,False,False,True
2466703-B4,False,False,True
2466718-B,False,False,True
2466893-B2,False,False,True
2466898-B2,False,False,True
2468417-B2,False,False,True
2468419-B2,False,False,True
2468419-B3,False,False,True
2468442-B2,False,False,True
2468450-B2,False,False,True
2468720-B2,False,False,True
2468954-B2,False,False,True
2469019-B2,False,False,True
2469023-B4,False,False,True
2469072-B2,False,False,True
2469110-B3,False,False,True
2469260-B3,False,False,True
2469515-B2,False,False,True
2470647-B2,False,False,True
2472481-B2,False,False,True
2472509-B4,False,False,True
2473218-B2,False,False,True
2473228-B2,False,False,True
2473545-B2,False,False,True
2473545-B3,False,False,True
2473623-B2,False,False,True
2474188-B2,False,False,True
2474626-B2,False,False,True
2474704-B2,False,False,True
2476242-B2,False,False,True
2476358-B2,False,False,True
2476376-B2,False,False,True
2476834-B3,False,False,True
2476983-B,False,False,True
2477274-B3,False,False,True
2477577-B3,False,False,True
2477670-B2,False,False,True
2482483-B2,False,False,True
2482952-B2,False,False,True
2483055-B2,False,False,True
2484312-B2,False,False,True
2484633-B2,False,False,True
2484734-B5,False,False,True
2484743-B4,False,False,True
2485303-B2,False,False,True
2486653-B2,False,False,True
2486812-B2,False,False,True
2486813-B2,False,False,True
2486845-B2,False,False,True
2487246-B2,False,False,True
2487388-B2,False,False,True
2488320-B3,False,False,True
25012153B2,False,False,True
25012485B2,False,False,True
25012760B2,False,False,True
25013189B2,False,False,True
25013465B2,False,False,True
25014226B2,False,False,True
25015103B2,False,False,True
25015234B2,False,False,True
25015495B4,False,False,True
25015863B2,False,False,True
25016801B2,False,False,True
25016829B2,False,False,True
25017089B2,False,False,True
25017242B2,False,False,True
25017354B5,False,False,True
25017518B2,False,False,True
25017538B4,False,False,True
25017932B2,False,False,True
25019107B,False,False,True
25019379B,False,False,True
25019621B4,False,False,True
25019790B2,False,False,True
25020263B2,False,False,True
25021197B2,False,False,True
25021575B4,False,False,True
25021658B3,False,False,True
25021901B2,False,False,True
25021911B2,False,False,True
25021973B2,False,False,True
25022038B2,False,False,True
25022354B2,False,False,True
25023573B,False,False,True
25023590B3,False,False,True
25023590B4,False,False,True
25023814B,False,False,True
25023869B4,False,False,True
25024243B2,False,False,True
25024302B4,False,False,True
25025109B2,False,False,True
25025245B2,False,False,True
25025262B2,False,False,True
25025298B2,False,False,True
25026081B2,False,False,True
25026163B,False,False,True
25026254B2,False,False,True
2490526B3,False,False,True
2490837B2,False,False,True
2491131B2,False,False,True
2491191B3,False,False,True
2491226B2,False,False,True
2491275B2,False,False,True
25001939B2,False,False,True
25002329B2,False,False,True
25002391B2,False,False,True
25002804B2,False,False,True
25009148B3,False,False,True
2462609-B2,False,False,True
2476286-B2,False,False,True
2484862-B3,False,False,True
2485473-B2,False,False,True
2487567-B2,False,False,True
2488302-B2,False,False,True
2488335-B,False,False,True
25013062B2,False,False,True
25015608B2,False,False,True
25015640B5,False,False,True
25017739B2,False,False,True
25019094B8,False,False,True
25019294B2,False,False,True
25020232B,False,False,True
25020799B3,False,False,True
25021196B2,False,False,True
25021558B2,False,False,True
25021890B6,False,False,True
25022458B2,False,False,True
25022584B2,False,False,True
25023327B3,False,False,True
25023828B,False,False,True
25024695B2,False,False,True
25025291B,False,False,True
25025567B4,False,False,True
25026294B3,False,False,True
2490980B,False,False,True
25002379B2,False,False,True
25027718B2,False,False,True
25028010B2a,False,False,True
25028010B3,False,False,True
25028014B4,False,False,True
25028147B3,False,False,True
25028151B2,False,False,True
25028862B2,False,False,True
25028879B3,False,False,True
25028885B2,False,False,True
25029179B,False,False,True
25030118B2,False,False,True
25032143B2,False,False,True
25032143B3,False,False,True
25032626B2,False,False,True
25033178B4,False,False,True
25034940B10,False,False,True
25035354B,False,False,True
25035882B3,False,False,True
25036226B4,False,False,True
25036341B,False,False,True
25042220B2,False,False,True
25042465B3,False,False,True
25042830B2,False,False,True
25045403B,False,False,True
25045625B2,False,False,True
25045801B1,False,False,True
25046855B,False,False,True
25047815B,False,False,True
25047844B2,False,False,True
25049669B3,False,False,True
25050415B2,False,False,True
25052654B2,False,False,True
25053683B2,False,False,True
25054212B,False,False,True
25054489B3,False,False,True
25055681B2,False,False,True
25058118B4,False,False,True
25058746B4,False,False,True
25062444B,False,False,True
